Vacancy,Employer,Location
 Senior Javascript Developer ,ProFair Games, თბილისი 
 Middle HTML5 თამაშების დეველოპერი ,ProFair Games, თბილისი 
 HoReCa მენეჯერის ასისტენტი ,ჯეო-კოოპ, თბილისი 
 ლოგისტიკის მენეჯერის თანაშემწე ,მანდარინა, თბილისი 
 კორპორაციული გაყიდვების მენეჯერი ,Prime Legal, თბილისი 
 English Speaking Sales Agents Required ,LetsTrade.com, თბილისი 
 კადრების შერჩევის სპეციალისტი ,სააგენტო ბაია, თბილისი 
 მიმტანი ,ნიუკრისტალბეთი, თბილისი 
 გაყიდვების კონსულტანტი ,Gtex, თბილისი 
 პროგრამული უზრუნველყოფის ტესტერი ,დასაქმების სააგენტო ეიჩარი, თბილისი 
 eCommerce Administration Specialist ,Several Places, თბილისი 
 კონსულტანტი ,კენარი, თბილისი 
 Manager ,Mimino Rent Car, თბილისი 
 Your start in IT - QA Engineer Training to become a QA Intern ,a1qa, თბილისი 
 Your start in IT - QA Automation Training to become an Automation QA Intern ,a1qa, თბილისი 
 საცალო და კორპორატიული  გაყიდვების მენეჯერი/ პროდუქციიის შემგროვებელი - საწყობის თანამშრომელი ,სხივი +, თბილისი 
 Php developer ,Patolomius Technology, თბილისი 
 Back-End Developer ,Patolomius Technology, თბილისი 
 რეალტორი / უძრავი ქონების ბროკერი ,ნიქსი, თბილისი 
 მიმტანი ,რესტორანი ქალაქი, თბილისი 
 პროგრამული კონსულტანტი ,iSTYLE, თბილისი 
 მარკეტინგის მენეჯერი ,ალაგი ლოგისტიკს, თბილისი 
 კორპორატიული გაყიდვების სპეციალისტი ,ალაგი ლოგისტიკს, თბილისი 
 Project Manager for Design Studio ,Several Places, თბილისი 
 უძრავი ქონების ბროკერი ,Orange, თბილისი 
 English/Russian Customer Service Representative ,Forward Executive Solutions, თბილისი 
 International online marketing + Design ,TAISHI YOSHIMURA, თბილისი 
 გაყიდვების მენეჯერი ,NEW AUTO MOTORS 24/7, თბილისი 
 გაყიდვების მენეჯერი ,ელიტ მოტორსი, ბათუმი 
 პრისელერი ,ოლიმპი, ბათუმი 
 მოლარე-კონსულტანტი ,ისმოუქ ჯორჯია, თბილისი 
 დიასახლისი სარფში ,ლიც რეზორტი, ხელვაჩაური 
 სუ შეფი კვარიათში ,ლიც რეზორტი," ბათუმი, "
 მიმტანის დამხმარე ,რესტორანი ბარბარესთან, თბილისი 
 ელექტრო შემკეთებელი ,ჰაიდელბერგცემენტ ჯორჯია, რუსთავი 
 Front Office Receptionist ,American Medical Centers, თბილისი 
 შეფ მზარეული ,Illy Caffè, თბილისი 
 ობიექტის მენეჯერი ,ვიანორი, თბილისი 
 კონსულტანტი ,Dressup Group, ბათუმი 
 საოპერაციო მენეჯერი ,რუსტარ ონლაინი, თბილისი 
 ლაბორანტი ,თოდუას კლინიკა, თბილისი 
 რეზერვაციის მენეჯერი ,რუსტარ ონლაინი, თბილისი 
 გაყიდვების მენეჯერი წეროვანში ,სპეცკომფორტი, მცხეთა 
 Store Manager ,Glovo, თბილისი 
 Junior Account Manager ,Glovo, თბილისი 
 Jr. Category Manager - Q-commerce ,Glovo, თბილისი 
 Jr. Category Manager MFC ,Glovo, თბილისი 
 Office Manager ,Glovo, თბილისი 
 კვერცხუჯრედის დონორი/სუროგატი დედა ,New Life Georgia, თბილისი 
 Site Reliability Engineer | Amber Studios ,Sacco, თბილისი 
 სატელეფონო გაყიდვების ჯგუფის უფროსი ,სითიქომი, თბილისი 
 კონსულტანტი/სამსუნგის ბრენდის ამბასადორი რუსთავში ,HRRA, რუსთავი 
 კონსულტანტი/სამსუნგის ბრენდის ამბასადორი ზუგდიდში ,HRRA, ზუგდიდი 
 აკადემიური განვითარების ხელმძღვანელი ,ბიზნესისა და ტექნოლოგიების უნივერსიტეტი, თბილისი 
 Project Manager ,ნექსონ ტექნოლოჯის, თბილისი 
 UI-UX/Graphic Designer ,ნექსონ ტექნოლოჯის, თბილისი 
 Arabic Language Customer Service Manager ,Free Spirit Tours, თბილისი 
 ბუღალტერი ,Free Spirit Tours, თბილისი 
 Arabic Language Tour Operator ,Free Spirit Tours, თბილისი 
 ავტო გაყიდვების მენეჯერი ,ჰოა ავტო იმპორტი, თბილისი 
 ქოლ-ცენტრის ოპერატორი ,ჭრელი აბანო, თბილისი 
 ბარმენი ,ჭრელი აბანო, თბილისი 
 მოლარე-ოპერატორი/ძვირფასი ნივთების ექსპერტ-შემფასებელი ,ვიპპს, თბილისი 
 საქმეთა მწარმოებელი ,სამშენებლო კომპანია ბალავარი, თბილისი 
 გაყიდვების კონსულტანტი ,ახალი ნათება, თბილისი 
 მოლარე–ოპერატორი ,ახალი ნათება, თბილისი 
 Office Assistant ,MPA Company, თბილისი 
 დოკუმენტების ადმინისტრირების სპეციალისტი ბოლნისში ,RMG აურამაინ, ბოლნისი 
 Supply Chain | Procurement Specialist ,Delta CAA, თბილისი 
 გენერალური მენეჯერი ,სუპერმარკეტების ქსელი ფრესკო, თბილისი 
 საკონტაქტო ცენტრის სპეციალისტი ,გლობუსი, თბილისი 
 UI/UX დიზაინერი ,Money Movers, თბილისი 
 ინგლისურენოვანი თამაშის წარმდგენი ,Evolution, თბილისი 
 Kundendienstmitarbeiter / Call Center Agent - Zalando ,CMX Solutions, თბილისი 
 მიმტანი/დიასახლისი ,რესტორანი დივანი, თბილისი 
 მიმღები ოპერატორი/სავაჭრო წერტილის მენეჯერი ,ოტო ჯორჯია, თბილისი 
 გაყიდვების მენეჯერი ,ოფის 1, თბილისი 
 კონსულტანტი ,ოფის 1, თბილისი 
 პრისეილერი ,ორიენტი, ქუთაისი 
 Senior react native დეველოპერი ,პროკრედიტ ბანკი, თბილისი 
 Middle react native დეველოპერი ,პროკრედიტ ბანკი, თბილისი 
 გაყიდვების მენეჯერი ,პრაიმქლინინგ, თბილისი 
 გაყიდვების სპეციალისტი/უძრავი ქონების აგენტი ,LEEVASH CORPORATION, თბილისი 
 ვაიზერი ,ბევრილი რითეილ ჯგუფი, ფოთი 
 რეალიზაციის მენეჯერი ,სპეცკომფორტი, თბილისი 
 მზარეული ,SKA Juice Bar, თბილისი 
 მზარეული ,SKA Juice Bar, ბათუმი 
 ოპერატორი ,ესთეტიკის ცენტრი, თბილისი 
 მძღოლ-დისტრიბუტორი ,ბლექსი დისთრიბუშენი, თბილისი 
 იმპორტის მენეჯერი ,ბლექსი დისთრიბუშენი, თბილისი 
 ოპერატორი ,ბლექსი დისთრიბუშენი, თბილისი 
 აღმზრდელი პედაგოგი ,Tabula Rasa International kindergarten, თბილისი 
 დისტრიბუტორი ,იფქლი-1, თბილისი 
 ავეჯის დიზაინერი/ავეჯის კონსტრუქტორი ,ავეჯის დამამზადებელი კომპანია გრანდი, თბილისი 
 English Content Writer ,Elite Global, თბილისი 
 English Content Editor ,Elite Global, თბილისი 
 Spanish Content Writer ,Elite Global, თბილისი 
 Russian Content Editor ,Elite Global, თბილისი 
 Italian Content Writer ,Elite Global, თბილისი 
 Warehouse specialist ,ჩინეთის გზებისა და ხიდების კორპორაციის საქართველოს ფილიალი, გარდაბანი 
 Packer-Depositor ,სუნელი, თბილისი 
" მოლარე-კონსულტანტი თბილისში, რუსთავსა და გარდაბანში ",WAY MARTI," თბილისი, "
 მოლარე-კონსულტანტი რეგიონებში ,WAY MARTI," ბათუმი, "
 მოლარე-კონსულტანტი დიღომში ,WAY MARTI, თბილისი 
 სამშენებლო ობიექტის დაცვის თანამშრომელი ,სამშენებლო კომპანია ანაგი, თბილისი 
 გაყიდვების მენეჯერი ,დებეტ კონსალტინგი, თბილისი 
 გაყიდვების ქოლ-ცენტრის ოპერატორი ,AUTO.GE, თბილისი 
 გაყიდვების ქოლ-ცენტრის ოპერატორი ,Shop.ge, თბილისი 
 მაღაზიის გაყიდვების მენეჯერი ,მაღაზია არჩევანი, თბილისი 
 ჯუსერი ,SKA Juice Bar, ბათუმი 
 წარმოების თანამშრომელი ,მეფუტკრე, თბილისი 
 HR Manager ,Universal Transit, თბილისი 
 Head of HR Department ,Universal Transit, თბილისი 
 HR Specialist ,Universal Transit, თბილისი 
 კორპორატიული გაყიდვების მენეჯერი ,რადიო პოზიტივი 104.3, თბილისი 
 მოლარე/მზარეული ,TASHIR PIZZA GEORGIA, თბილისი 
 მემწვადე/ბარმენი ,ხინკლის სახლი ივერონი, თბილისი 
 Java Developer / Net Developer ,Work 4 You, თბილისი 
 სამედიცინო წარმომადგენელი ,ფარმაცევტული კომპანია-არს მედიკა, თბილისი 
 მძღოლ/დისტრიბუტორი ბათუმში ,MAXIMUS, ბათუმი 
 ჩამოსასხმელი ლუდის გამყიდველი ,MAXIMUS, თბილისი 
 გაყიდვების მენეჯერი ,TEKA, თბილისი 
 უფროსი ბუღალტერი ,ენთები, თბილისი 
 მთავარი ბუღალტერი ,ენთები, თბილისი 
 AML/Compliance Manager ,Blockchain TBS, თბილისი 
 უძრავი ქონების ბროკერის  პოზიცია ,MBG group, თბილისი 
 კომერციული დირექტორის დამხმარე შესყიდვების მიმათულებით ,Agro Food Trade, თბილისი 
 საწყობის მენეჯერის თანაშემწე ,ანაბეჭდი, თბილისი 
 Strategy Team ,Georgia Capital, თბილისი 
 კონდიტერი ,საკონდიტრო-საწარმო ბელა, თბილისი 
 ხერხის ოპერატორი ,Litten Tree, თბილისი 
 Lawyer and Transportation Compliance Manager ,Universal Transit, თბილისი 
 სლოტ ოპერატორი სარფში ,King Premier Casino Sarpi," ბათუმი, "
 ბარის დაცვა ,Sakhelosno BAR, თბილისი 
 ხელოსანი/ტექნიკოსი ,Sakhelosno BAR, თბილისი 
 ბარმენი ,Sakhelosno BAR, თბილისი 
 დამლაგებელი - ღამის საათებში ,Sakhelosno BAR, თბილისი 
 კორპორატიული გაყიდვების სპეციალისტი ,დასაქმების სააგენტო ეიჩარი, თბილისი 
 კონსულტანტი ,თოლია, თბილისი 
 საწყობისა და სათადარიგო ნაწილების უმცროსი სპეციალისტი ,EGT Georgia, თბილისი 
 ქოლ-ცენტრის ოპერატორი/ონლაინ მხარდაჭერის უმცროსი სპეციალისტი ,EGT Georgia, თბილისი 
 დასუფთავების მენეჯერი ,პრაიმქლინინგ, თბილისი 
 ავტომატიზაციის სისტემების სპეციალისტი ,აი-სი ჰოლდინგი, მცხეთა 
 საწარმო დანადგარის ოპერატორი ,აი-სი ჰოლდინგი, მცხეთა 
 ბეტონის ინდუსტრიული იატაკის სამუშაოთა მწარმოებლი ,აი-სი ჰოლდინგი, თბილისი 
 მენეჯერი ,ფ.პ თათია ჯორბენაძე, თბილისი 
 დამლაგებელი ,ფ.პ თათია ჯორბენაძე, თბილისი 
 მომსახურე პერსონალი / კონსულტანტი მზარეული ,Lumier's Chimney Cake, თბილისი 
 помічника/харчового технолога ,სანს გრუფ, თბილისი 
 გაყიდვების მენეჯერი ,მეტი+, თბილისი 
 რეგისტრატორი/საღამოს ცვლა ,თოდუას კლინიკა, თბილისი 
 მენეჯერი ,ბაგინეთი, მცხეთა 
 მოლარე-კონსულტანტი ,უნივერსამი, თბილისი 
 საწარმოს მოხელე ,ფაბრიკონი, თბილისი 
 მემონტაჟე ,ფაბრიკონი, თბილისი 
 ჩინური თარჯიმანი ,ჩინეთის გზებისა და ხიდების კორპორაციის საქართველოს ფილიალი, წნორი 
 ბარმენი ,ART HOUSE, თბილისი 
 მიმტანი ,ART HOUSE, თბილისი 
 მზარეული ,ART HOUSE, თბილისი 
 კურიერი ,Glovo, ფოთი 
 გლოვერი / კურიერი ,Glovo, თბილისი 
 გლოვერი/კურიერი ,Glovo, გორი 
 კურიერი ,Glovo, ბათუმი 
 Instock Specialist ,Glovo, თბილისი 
 MFC Assortment Analyst ,Glovo, თბილისი 
 რესტორნის მენეჯერი ,რესტორანი ვარდო, თბილისი 
 ტვირთების დაგეგმარების ოპერატორი ,ემ თი ჯი, თბილისი 
 ქოლ-ცენტრის ოპერატორი ,ემ თი ჯი, თბილისი 
 მთავარი მზარეული/დამხმარე მზარეული ,სულიკო, თბილისი 
 Community Manager ,Finance Makers, თბილისი 
 Financial Markets Analyst/Writer ,Finance Makers, თბილისი 
 Marketing Manager ,Finance Makers, თბილისი 
 უძრავი ქონების ბროკერი / ოპერატორი ,დეველოპ ინვესტინგ ინ ჯორჯია, თბილისი 
 მეღორეობის კომპლექსის თანამშრომელი ასურეთში ,აშენდი აგრო საქართველო," თეთრიწყარო, "
 მაღაზიის მენეჯერი ,Dressup Group, თბილისი 
 კონსულტანტი ,Dressup Group, თბილისი 
 კონსულტანტი/ნახევარი განაკვეთი ,Dressup Group, თბილისი 
 გერმანულენოვანი ქოლ-ცენტრის ოპერატორი / მომხმარებელთა მომსახურების წარმომადგენელი ,CMX Solutions, თბილისი 
 Java პროგრამისტი ,ლიდერბეთი, თბილისი 
 მონაცემთა ბაზების ადმინისტრატორის/DBA ,ლიდერბეთი, თბილისი 
 React პროგრამისტი ,ლიდერბეთი, თბილისი 
 პროგრამული უზრუნველყოფის ტესტერი ,ლიდერბეთი, თბილისი 
 Network Engineer ,ლიდერბეთი, თბილისი 
 რესტორნის მოლარე-კონსულტანტი/მზარეული ,KFC, თბილისი 
 ქოლ-ცენტრის ოპერატორი ,გრინ ნეთვორქსი," ხაშური, "
 გაყიდვების მენეჯერი ,საქართველოს ინვენტარი, თბილისი 
 Business Development Director ,დასტა რექორდს მენეჯმენტი, თბილისი 
 დისტრიბუტორი /პრისეილერი-მერჩენდაიზერი ,ბუდგეთ," თბილისი, "
 საცალო გაყიდვების სპეციალისტი ლილო მოლში ,Wishlist.ge, თბილისი 
 ადმინისტრატორი ,მედიკალ გრუპი, თბილისი 
 ტექნიკოსი ,ბს/2 ჯორჯია, თბილისი 
 AML შესაბამისობის განყოფილების უფროსი ,ლიდერბეთი, თბილისი 
 მიმტანი ,რესტორანი ფუნიკულიორი, თბილისი 
 Guest Service Specialist ,ეპიზოდი თბილისი, თბილისი 
 შესყიდვების მენეჯერი ,ეპიზოდი თბილისი, თბილისი 
 შენობის ექსპლუატაციის სპეციალისტი ,პროკრედიტ ბანკი, თბილისი 
 მოლარე ოპერატორი/მიმტანი ქუთაისში ,კაზინო კრისტალბეთი, ქუთაისი 
 პრისეილერი ,თორიჯორჯია, თბილისი 
 მოლარე/კონსულტანტი ,ევროპროდუქტი, თბილისი 
 English Speaking Customer Service Representative ,DSPRO, თბილისი 
 Full Stack Software Engineer ,Universal Transit, თბილისი 
 უძრავი ქონების აგენტი ,დორაგრუპი, თბილისი 
 Call center Telemedicine Service Representative/English Speaking/Night shift ,GHS Consulting, თბილისი 
 გამყვანი ტურიზმის გაყიდვების უფროსი მენეჯერი ,იორ ფოინთ, თბილისი 
 გამყვანი ტურიზმის ავიაბილეთების ოპერატორი ,იორ ფოინთ, თბილისი 
